id,bounding_box
person:0.9987,[218 254 106 298]
person:0.9983,[ 91 237 101 328]
person:0.9912,[554 135 238 560]
person:0.9898,[941 305  72 181]
person:0.9885,[328 256 107 282]
person:0.9845,[474 282 111 230]
handbag:0.9670,[1068  188  209  251]
backpack:0.9270,[695 219 126 199]
person:0.7420,[441 306  43 185]
person:0.6641,[903 300  41 137]
person:0.9987,[218 254 106 298]
person:0.9983,[ 91 237 101 328]
person:0.9912,[554 135 238 560]
person:0.9898,[941 305  72 181]
person:0.9885,[328 256 107 282]
person:0.9845,[474 282 111 230]
handbag:0.9670,[1068  188  209  251]
backpack:0.9270,[695 219 126 199]
person:0.7420,[441 306  43 185]
person:0.6641,[903 300  41 137]
person:0.9987,[218 254 106 298]
person:0.9983,[ 91 237 101 328]
person:0.9912,[554 135 238 560]
person:0.9898,[941 305  72 181]
person:0.9885,[328 256 107 282]
person:0.9845,[474 282 111 230]
handbag:0.9670,[1068  188  209  251]
backpack:0.9270,[695 219 126 199]
person:0.7420,[441 306  43 185]
person:0.6641,[903 300  41 137]
person:0.9986,[218 256 102 294]
person:0.9976,[ 91 239 101 320]
person:0.9952,[325 257 106 282]
person:0.9935,[549 140 241 558]
person:0.9890,[472 287 114 223]
person:0.9850,[954 298  70 196]
backpack:0.9241,[690 220 125 195]
person:0.9236,[1067   84  211  631]
person:0.9133,[442 311  46 179]
person:0.6285,[902 296  40 142]
person:0.9987,[216 258 104 291]
person:0.9984,[ 88 242 106 316]
person:0.9963,[319 256 115 282]
person:0.9943,[557 129 230 576]
person:0.9910,[472 287 118 221]
person:0.9832,[951 302  74 190]
person:0.9192,[1057  109  225  585]
person:0.8654,[438 307  51 181]
backpack:0.8540,[692 217 117 203]
handbag:0.5001,[295 410  39  85]
person:0.9984,[212 256 108 295]
person:0.9983,[ 90 244 104 313]
person:0.9958,[313 261 121 275]
person:0.9952,[476 287 112 224]
person:0.9853,[580 160 175 542]
person:0.9719,[957 302  69 192]
backpack:0.9367,[691 219 116 197]
handbag:0.8954,[1115  170  164  300]
person:0.8675,[433 306  53 184]
person:0.8306,[1046  238  121  325]
handbag:0.5707,[294 420  39  81]
person:0.9992,[210 249 108 308]
person:0.9988,[ 91 246 101 311]
person:0.9974,[315 255 113 284]
person:0.9859,[481 289 105 226]
person:0.9821,[581 147 163 573]
person:0.9665,[960 305  67 185]
person:0.9424,[1047  248  120  319]
person:0.9119,[431 304  53 189]
backpack:0.8902,[691 226 113 193]
handbag:0.8885,[1139  172  142  298]
person:0.9988,[212 249 105 308]
person:0.9984,[ 92 248 100 308]
person:0.9973,[315 254 111 288]
person:0.9875,[481 286 104 230]
person:0.9801,[581 177 169 515]
person:0.9697,[1046  257  121  299]
person:0.9614,[962 309  70 180]
person:0.9548,[426 301  57 193]
backpack:0.8009,[692 244 110 196]
person:0.9986,[ 92 251 100 300]
person:0.9984,[210 250 105 300]
person:0.9971,[317 255 107 282]
person:0.9940,[1047  251  111  305]
person:0.9654,[971 306  62 183]
person:0.9617,[574 174 168 518]
person:0.9517,[423 301  63 198]
person:0.8791,[481 290 106 225]
backpack:0.7768,[692 245 104 197]
person:0.7669,[1142  204  139  445]
