id,bounding_box
person:0.9915,[249  80 487 404]
person:0.9927,[126  77 597 407]
person:0.9941,[147  72 563 407]
person:0.9923,[144  73 568 398]
person:0.9914,[149  71 558 398]
person:0.9940,[149  70 552 396]
person:0.9934,[138  70 571 391]
person:0.9934,[141  68 569 395]
person:0.9929,[141  64 568 400]
person:0.9949,[135  66 584 399]
person:0.9934,[134  68 583 395]
person:0.9939,[139  68 578 397]
person:0.9947,[134  69 588 400]
person:0.9946,[142  71 575 396]
person:0.9937,[131  72 591 394]
person:0.9940,[124  71 608 397]
person:0.9950,[132  71 592 400]
person:0.9938,[131  70 593 400]
person:0.9953,[125  69 606 400]
person:0.9946,[132  71 592 401]
person:0.9931,[122  67 609 404]
person:0.9946,[121  66 610 403]
person:0.9932,[122  66 609 400]
person:0.9947,[115  64 620 402]
person:0.9938,[125  63 601 406]
person:0.9920,[124  66 603 401]
person:0.9920,[116  64 621 403]
person:0.9951,[123  63 606 404]
person:0.9930,[127  62 602 407]
person:0.9921,[130  62 598 408]
person:0.9939,[134  64 589 402]
person:0.9949,[143  62 570 407]
person:0.9928,[131  62 597 407]
person:0.9949,[118  65 620 401]
person:0.9930,[127  63 600 405]
person:0.9973,[ 75  36 677 426]
person:0.9970,[ 94  33 653 428]
person:0.9971,[ 80  35 677 424]
person:0.9972,[ 88  34 663 419]
person:0.9979,[ 55  29 723 424]
person:0.9983,[ 37  25 752 433]
person:0.9988,[ 35  30 754 426]
person:0.9984,[ 42  28 743 430]
person:0.9983,[ 38  22 751 444]
person:0.9984,[ 34  25 759 442]
person:0.9979,[ 35  26 754 441]
person:0.9974,[ 33  28 763 435]
person:0.9989,[ 29  34 673 423]
person:0.9988,[ 25  38 677 417]
person:0.9992,[ 26  34 670 422]
person:0.9992,[ 20  33 688 419]
person:0.9976,[ 41  34 648 415]
person:0.9976,[ 50  41 724 415]
person:0.9980,[ 62  52 710 397]
person:0.9856,[ 72  55 689 397]
person:0.9937,[ 42  76 637 385]
person:0.9960,[ 65  83 596 387]
person:0.9972,[ 54  97 618 376]
person:0.9941,[ 56 111 619 354]
person:0.9888,[ 73 119 587 346]
person:0.9793,[ 84 121 571 340]
person:0.9845,[ 99 120 549 342]
person:0.9826,[104 121 540 341]
person:0.9802,[101 121 547 339]
person:0.9708,[174 119 492 346]
person:0.9806,[176 118 485 347]
person:0.9731,[128 124 492 353]
person:0.9786,[128 124 491 353]
person:0.9766,[193 121 446 362]
person:0.9926,[133 126 485 356]
person:0.9746,[189 122 460 362]
person:0.9751,[194 123 447 363]
person:0.9862,[146 124 461 359]
person:0.9836,[147 124 460 358]
person:0.9864,[213 130 385 347]
person:0.9875,[216 129 381 351]
person:0.9857,[146 128 459 350]
person:0.9911,[139 130 475 350]
person:0.9915,[138 132 471 345]
person:0.9929,[142 132 465 342]
person:0.9941,[143 134 466 339]
person:0.9948,[145 132 456 344]
person:0.9934,[184 130 387 346]
person:0.9905,[144 126 458 351]
person:0.9927,[145 125 457 354]
person:0.9924,[142 122 460 358]
person:0.9900,[136 123 466 357]
person:0.9908,[137 121 467 360]
person:0.9912,[131 123 475 357]
person:0.9933,[133 125 474 354]
person:0.9892,[130 123 477 357]
person:0.9886,[131 122 474 359]
person:0.9894,[126 121 477 360]
person:0.9888,[129 122 469 361]
person:0.9846,[125 123 477 357]
person:0.9838,[127 121 476 359]
person:0.9854,[124 121 477 363]
person:0.9961,[137 120 480 358]
person:0.9943,[133 117 482 363]
person:0.9864,[134 118 476 360]
person:0.9889,[132 115 479 367]
person:0.9894,[116 114 504 355]
person:0.9895,[124 109 481 380]
person:0.9884,[120 111 477 377]
person:0.9905,[115 112 481 375]
person:0.9900,[114 110 477 379]
person:0.9926,[111 116 469 367]
person:0.9915,[ 77 116 472 367]
person:0.9909,[ 76 115 466 366]
person:0.9887,[ 74 115 467 366]
person:0.9877,[ 68 114 474 368]
person:0.9832,[ 67 113 466 370]
person:0.9849,[ 59 114 472 355]
person:0.9870,[ 53 112 477 372]
bottle:0.5218,[157 204  25  38]
person:0.9775,[ 56 112 476 357]
person:0.9834,[ 55 111 459 376]
bottle:0.5806,[157 204  25  38]
person:0.9838,[ 49 109 468 378]
bottle:0.5669,[157 204  24  38]
person:0.9829,[ 52 113 459 372]
bottle:0.6361,[157 204  25  38]
person:0.9862,[ 50 111 463 375]
bottle:0.6691,[157 204  25  38]
person:0.9908,[ 55 112 463 358]
bottle:0.6170,[157 204  25  38]
