id,bounding_box
person:0.9939,[614 115  42  89]
person:0.9936,[773 101  32  83]
person:0.9923,[802  86  36  87]
person:0.9869,[955 472  63 116]
person:0.9868,[756 632  81  85]
person:0.9847,[383 184  36  83]
person:0.9837,[448 433  51 117]
person:0.9825,[761 332  41 103]
person:0.9800,[502 305  45  86]
person:0.9798,[1194   98   39   83]
person:0.9775,[61 87 37 81]
person:0.9745,[475 160  38  88]
person:0.9732,[972 316  53 105]
person:0.9711,[963 208  51 108]
person:0.9708,[728  28  25  67]
person:0.9686,[532  51  28  79]
person:0.9618,[1123  100   43   87]
person:0.9597,[567  48  29  78]
person:0.9446,[132  31  38  70]
person:0.9379,[1076   10   32   70]
person:0.9307,[167 290  54 110]
person:0.9220,[1054   13   24   68]
person:0.9178,[237  11  34  78]
person:0.9069,[657  63  34  87]
person:0.8927,[1116    6   34   78]
person:0.8828,[482   2  29  70]
person:0.8634,[598  64  25  76]
person:0.8589,[238 339  65 104]
person:0.8430,[ 22 532  65 125]
person:0.7613,[1211   -4   26   39]
person:0.7133,[604  -1  26  53]
person:0.6870,[102   0  22  32]
person:0.6757,[1147   53   39   76]
person:0.6645,[291 334  46  90]
person:0.6321,[865   4  29  65]
person:0.6210,[380 136  32  67]
person:0.5774,[1264   52   16   79]
person:0.9936,[762 323  42 113]
person:0.9934,[475 156  39  90]
person:0.9931,[614 115  44  94]
person:0.9910,[803  84  34  86]
person:0.9891,[452 427  48 120]
person:0.9888,[384 187  34  82]
person:0.9865,[1194   99   40   82]
person:0.9864,[943 473  68 116]
person:0.9840,[977 319  50 105]
person:0.9800,[61 86 37 82]
person:0.9766,[775 101  30  81]
person:0.9722,[137  29  34  72]
person:0.9667,[168 293  51 110]
person:0.9666,[729  28  24  70]
person:0.9620,[532  50  29  80]
person:0.9571,[758 629  75  88]
person:0.9551,[965 211  50 106]
person:0.9544,[1123  107   43   81]
person:0.9533,[503 295  48 109]
person:0.9514,[567  48  30  77]
person:0.9359,[240  13  32  73]
person:0.9328,[1054   12   25   68]
person:0.9318,[482   3  34  66]
person:0.9300,[1077   11   31   69]
person:0.9201,[1115    8   37   76]
person:0.9018,[238 336  67 107]
person:0.8775,[597  65  27  74]
person:0.8694,[658  75  33  81]
person:0.8436,[1149   53   38   75]
person:0.7566,[604  -1  26  52]
person:0.7043,[380 136  33  69]
person:0.6942,[1211   -3   25   38]
person:0.6174,[ 22 535  67 122]
person:0.6166,[865   3  30  66]
