id,x,y
car:0.9922,728.0,501.0
car:0.9873,414.0,563.0
car:0.9863,790.0,681.0
car:0.9841,605.0,634.0
car:0.9338,638.0,383.0
car:0.9313,520.0,481.0
car:0.8844,548.0,436.0
car:0.8724,366.0,449.0
car:0.8339,1045.0,509.0
car:0.7802,1228.0,470.0
car:0.7350,911.0,452.0
car:0.6338,559.0,358.0
car:0.9906,604.0,635.0
car:0.9891,415.0,565.0
car:0.9887,791.0,689.0
car:0.9809,728.0,504.0
car:0.9687,1217.0,477.0
car:0.9577,519.0,482.0
car:0.9178,635.0,384.0
car:0.8539,364.0,449.0
car:0.8069,439.0,416.0
car:0.7868,1039.0,506.0
car:0.7841,554.0,440.0
car:0.7512,912.0,444.0
car:0.6647,552.0,350.0
car:0.5923,841.0,446.0
car:0.9925,602.0,637.0
car:0.9860,798.0,701.0
car:0.9846,416.0,568.0
car:0.9731,377.0,456.0
car:0.9701,733.0,501.0
car:0.9586,530.0,490.0
car:0.9249,629.0,385.0
car:0.9137,1206.0,482.0
car:0.8791,556.0,450.0
car:0.8249,1036.0,505.0
car:0.8159,547.0,352.0
car:0.7373,913.0,432.0
car:0.5111,838.0,444.0
car:0.9895,806.0,706.0
car:0.9805,610.0,654.0
car:0.9791,417.0,568.0
car:0.9717,737.0,503.0
car:0.9584,376.0,455.0
car:0.9577,556.0,452.0
car:0.9393,530.0,491.0
car:0.9342,1027.0,498.0
car:0.9209,1208.0,466.0
car:0.9128,912.0,427.0
car:0.8957,622.0,378.0
car:0.8345,547.0,348.0
car:0.7141,444.0,416.0
car:0.5406,838.0,443.0
car:0.9942,809.0,711.0
car:0.9881,609.0,658.0
car:0.9849,413.0,585.0
car:0.9736,740.0,507.0
car:0.9696,379.0,456.0
car:0.9508,1193.0,470.0
car:0.9469,560.0,451.0
car:0.9375,535.0,492.0
car:0.8671,619.0,373.0
car:0.8382,1020.0,496.0
car:0.7491,907.0,426.0
car:0.5658,546.0,342.0
car:0.5444,398.0,388.0
car:0.5156,833.0,425.0
car:0.9944,806.0,720.0
car:0.9906,404.0,595.0
car:0.9866,611.0,661.0
car:0.9733,382.0,455.0
car:0.9616,564.0,450.0
car:0.9589,536.0,499.0
car:0.9256,1181.0,470.0
car:0.9102,747.0,499.0
car:0.8853,1012.0,495.0
car:0.8817,894.0,429.0
car:0.8607,449.0,417.0
car:0.7267,620.0,369.0
car:0.6893,832.0,423.0
car:0.6461,541.0,345.0
car:0.6181,400.0,388.0
car:0.9948,823.0,732.0
car:0.9888,412.0,594.0
car:0.9831,613.0,664.0
car:0.9669,567.0,450.0
car:0.9648,379.0,459.0
car:0.9170,538.0,499.0
car:0.9122,1177.0,459.0
car:0.8706,1010.0,491.0
car:0.8702,885.0,430.0
car:0.8446,607.0,378.0
car:0.8234,757.0,500.0
car:0.7415,447.0,420.0
car:0.6151,397.0,390.0
car:0.5904,829.0,425.0
car:0.5455,538.0,348.0
car:0.9934,819.0,741.0
car:0.9907,408.0,599.0
car:0.9871,568.0,452.0
car:0.9813,611.0,667.0
car:0.9779,381.0,461.0
car:0.9738,537.0,505.0
car:0.9701,998.0,492.0
car:0.9493,604.0,377.0
car:0.9401,1167.0,463.0
car:0.9299,758.0,501.0
car:0.7902,824.0,428.0
car:0.7830,885.0,424.0
car:0.7709,451.0,423.0
car:0.6026,536.0,347.0
car:0.9929,829.0,745.0
car:0.9880,407.0,600.0
car:0.9871,612.0,672.0
car:0.9833,568.0,454.0
car:0.9711,381.0,462.0
car:0.9541,600.0,374.0
car:0.9463,539.0,506.0
car:0.9342,994.0,484.0
car:0.9114,765.0,515.0
car:0.9002,452.0,427.0
car:0.8862,1158.0,465.0
car:0.8323,889.0,409.0
car:0.7035,529.0,346.0
car:0.6713,821.0,430.0
car:0.9893,617.0,683.0
car:0.9828,401.0,609.0
car:0.9799,385.0,470.0
car:0.9765,835.0,752.0
car:0.9524,766.0,517.0
car:0.9510,988.0,481.0
car:0.9457,600.0,370.0
car:0.9256,544.0,509.0
car:0.9043,571.0,453.0
car:0.8916,456.0,424.0
car:0.8844,1148.0,454.0
car:0.7430,867.0,425.0
car:0.7404,526.0,348.0
car:0.9888,621.0,685.0
car:0.9796,398.0,613.0
car:0.9794,383.0,472.0
car:0.9591,774.0,518.0
car:0.9403,1140.0,457.0
car:0.9352,835.0,768.0
car:0.9261,543.0,512.0
car:0.9053,584.0,463.0
car:0.8966,459.0,424.0
car:0.8915,597.0,367.0
car:0.8510,984.0,485.0
car:0.6933,860.0,427.0
car:0.6400,524.0,344.0
car:0.9962,832.0,786.0
car:0.9759,384.0,472.0
car:0.9742,627.0,681.0
car:0.9586,397.0,611.0
car:0.9577,783.0,520.0
car:0.9484,582.0,464.0
car:0.9285,1133.0,452.0
car:0.8924,547.0,512.0
car:0.8475,598.0,363.0
car:0.8391,459.0,423.0
car:0.8019,972.0,480.0
car:0.5431,864.0,414.0
car:0.5130,522.0,342.0
car:0.9886,829.0,787.0
car:0.9864,585.0,467.0
car:0.9844,387.0,474.0
car:0.9655,400.0,628.0
car:0.9555,787.0,520.0
car:0.9539,638.0,684.0
car:0.9311,549.0,516.0
car:0.9185,1130.0,449.0
car:0.9140,462.0,423.0
car:0.8389,968.0,475.0
car:0.7774,588.0,369.0
car:0.6709,863.0,411.0
car:0.6197,409.0,397.0
car:0.5861,800.0,423.0
car:0.5497,523.0,341.0
car:0.9700,398.0,630.0
car:0.9688,384.0,475.0
car:0.9537,591.0,460.0
car:0.9453,817.0,809.0
car:0.9433,791.0,526.0
car:0.9101,631.0,694.0
car:0.9016,548.0,518.0
car:0.8496,967.0,469.0
car:0.8369,586.0,369.0
car:0.8238,466.0,420.0
car:0.8075,1123.0,447.0
car:0.7288,847.0,418.0
car:0.5709,411.0,397.0
car:0.9691,387.0,475.0
car:0.9664,399.0,630.0
car:0.9545,642.0,700.0
car:0.9496,595.0,464.0
car:0.9364,795.0,528.0
car:0.9269,552.0,525.0
car:0.9157,845.0,414.0
car:0.9093,965.0,467.0
car:0.9026,1115.0,447.0
car:0.7906,466.0,431.0
car:0.7888,584.0,366.0
car:0.9794,635.0,712.0
car:0.9759,594.0,472.0
car:0.9755,399.0,635.0
car:0.9683,389.0,478.0
car:0.9487,798.0,531.0
car:0.9353,1105.0,452.0
car:0.9329,953.0,469.0
car:0.9290,466.0,435.0
car:0.9249,552.0,528.0
car:0.9154,840.0,413.0
car:0.7393,576.0,363.0
car:0.7017,805.0,830.0
car:0.5828,415.0,396.0
car:0.5174,505.0,339.0
car:0.9777,633.0,718.0
car:0.9760,599.0,470.0
car:0.9713,555.0,528.0
car:0.9655,402.0,649.0
car:0.9556,803.0,540.0
car:0.9374,947.0,466.0
car:0.9216,390.0,477.0
car:0.9142,1099.0,445.0
car:0.8738,837.0,411.0
car:0.8355,805.0,855.0
car:0.7799,465.0,432.0
car:0.7750,575.0,363.0
car:0.6126,502.0,338.0
car:0.5401,415.0,397.0
car:0.9851,400.0,656.0
car:0.9787,603.0,471.0
car:0.9742,559.0,532.0
car:0.9691,627.0,730.0
car:0.9611,811.0,544.0
car:0.9407,397.0,482.0
car:0.9235,1089.0,447.0
car:0.9183,941.0,463.0
car:0.8685,467.0,441.0
car:0.7674,572.0,361.0
car:0.7157,841.0,399.0
car:0.7112,505.0,335.0
car:0.9897,402.0,662.0
car:0.9829,395.0,487.0
car:0.9786,621.0,734.0
car:0.9666,814.0,543.0
car:0.9623,607.0,473.0
car:0.9461,564.0,527.0
car:0.9279,938.0,462.0
car:0.9246,468.0,442.0
car:0.9208,1082.0,444.0
car:0.8761,816.0,416.0
car:0.7697,569.0,363.0
car:0.5958,499.0,332.0
car:0.5641,436.0,389.0
car:0.5140,816.0,829.0
car:0.9914,401.0,668.0
car:0.9864,395.0,486.0
car:0.9808,818.0,538.0
car:0.9700,564.0,533.0
car:0.9612,606.0,754.0
car:0.9479,467.0,443.0
car:0.9393,609.0,481.0
car:0.9346,1077.0,438.0
car:0.9256,814.0,410.0
car:0.9017,931.0,458.0
car:0.8516,555.0,370.0
car:0.6645,437.0,388.0
car:0.5401,418.0,396.0
car:0.5164,496.0,327.0
car:0.9947,399.0,672.0
car:0.9764,397.0,487.0
car:0.9645,600.0,758.0
car:0.9621,612.0,481.0
car:0.9575,819.0,535.0
car:0.9457,1072.0,435.0
car:0.9402,564.0,532.0
car:0.8993,926.0,458.0
car:0.8969,472.0,443.0
car:0.8866,552.0,365.0
car:0.8233,821.0,399.0
car:0.6112,1222.0,580.0
car:0.5817,442.0,387.0
car:0.5429,416.0,396.0
car:0.5149,495.0,326.0
car:0.9921,395.0,672.0
car:0.9685,394.0,492.0
car:0.9515,468.0,449.0
car:0.9186,1067.0,429.0
car:0.9179,550.0,364.0
car:0.9007,615.0,479.0
car:0.8930,921.0,456.0
car:0.8754,828.0,553.0
car:0.8705,567.0,532.0
car:0.8622,603.0,768.0
car:0.8219,784.0,429.0
car:0.7330,1216.0,583.0
car:0.6040,419.0,395.0
car:0.5824,443.0,387.0
car:0.9853,392.0,680.0
car:0.9694,393.0,493.0
car:0.9483,919.0,450.0
car:0.9373,474.0,444.0
car:0.9341,568.0,534.0
car:0.9285,1062.0,423.0
car:0.9250,621.0,483.0
car:0.9170,783.0,423.0
car:0.8964,550.0,357.0
car:0.8493,838.0,557.0
car:0.8211,1214.0,574.0
person:0.7745,592.0,789.0
car:0.6468,419.0,397.0
car:0.5992,444.0,391.0
car:0.9824,393.0,677.0
car:0.9775,1057.0,425.0
car:0.9727,916.0,448.0
car:0.9723,473.0,448.0
car:0.9488,397.0,492.0
car:0.9165,621.0,487.0
car:0.9045,1192.0,585.0
car:0.8796,781.0,421.0
car:0.8706,570.0,535.0
car:0.8090,841.0,563.0
person:0.7912,582.0,795.0
car:0.7102,546.0,354.0
car:0.5363,479.0,329.0
car:0.5078,422.0,395.0
car:0.9620,627.0,491.0
