id,x,y
person:0.9987,472.0,404.0
person:0.9983,328.0,429.0
person:0.9912,689.0,798.0
person:0.9898,1246.0,253.0
person:0.9885,584.0,389.0
person:0.9845,756.0,341.0
handbag:0.9670,1256.0,460.0
backpack:0.9270,914.0,325.0
person:0.7420,747.0,228.0
person:0.6641,1203.0,178.0
person:0.9987,472.0,404.0
person:0.9983,328.0,429.0
person:0.9912,689.0,798.0
person:0.9898,1246.0,253.0
person:0.9885,584.0,389.0
person:0.9845,756.0,341.0
handbag:0.9670,1256.0,460.0
backpack:0.9270,914.0,325.0
person:0.7420,747.0,228.0
person:0.6641,1203.0,178.0
person:0.9987,472.0,404.0
person:0.9983,328.0,429.0
person:0.9912,689.0,798.0
person:0.9898,1246.0,253.0
person:0.9885,584.0,389.0
person:0.9845,756.0,341.0
handbag:0.9670,1256.0,460.0
backpack:0.9270,914.0,325.0
person:0.7420,747.0,228.0
person:0.6641,1203.0,178.0
person:0.9986,474.0,396.0
person:0.9976,330.0,421.0
person:0.9952,582.0,388.0
person:0.9935,689.0,799.0
person:0.9890,759.0,337.0
person:0.9850,1252.0,266.0
backpack:0.9241,910.0,320.0
person:0.9236,1151.0,842.0
person:0.9133,753.0,225.0
person:0.6285,1198.0,182.0
person:0.9987,474.0,395.0
person:0.9984,330.0,422.0
person:0.9963,575.0,397.0
person:0.9943,686.0,806.0
person:0.9910,759.0,339.0
person:0.9832,1253.0,264.0
person:0.9192,1166.0,810.0
person:0.8654,745.0,232.0
backpack:0.8540,909.0,320.0
handbag:0.5001,705.0,124.0
person:0.9984,468.0,403.0
person:0.9983,334.0,417.0
person:0.9958,574.0,396.0
person:0.9952,763.0,336.0
person:0.9853,740.0,717.0
person:0.9719,1259.0,261.0
backpack:0.9367,910.0,313.0
handbag:0.8954,1285.0,464.0
person:0.8675,739.0,237.0
person:0.8306,1284.0,446.0
handbag:0.5707,714.0,120.0
person:0.9992,459.0,416.0
person:0.9988,337.0,412.0
person:0.9974,570.0,397.0
person:0.9859,770.0,331.0
person:0.9821,728.0,736.0
person:0.9665,1265.0,252.0
person:0.9424,1295.0,439.0
person:0.9119,735.0,242.0
backpack:0.8902,917.0,306.0
handbag:0.8885,1311.0,440.0
person:0.9988,461.0,413.0
person:0.9984,340.0,408.0
person:0.9973,569.0,399.0
person:0.9875,767.0,334.0
person:0.9801,758.0,684.0
person:0.9697,1303.0,420.0
person:0.9614,1271.0,250.0
person:0.9548,727.0,250.0
backpack:0.8009,936.0,306.0
person:0.9986,343.0,400.0
person:0.9984,460.0,405.0
person:0.9971,572.0,389.0
person:0.9940,1298.0,416.0
person:0.9654,1277.0,245.0
person:0.9617,748.0,686.0
person:0.9517,724.0,261.0
person:0.8791,771.0,331.0
backpack:0.7768,937.0,301.0
person:0.7669,1346.0,584.0
person:0.9985,338.0,406.0
person:0.9979,454.0,412.0
person:0.9969,580.0,381.0
person:0.9910,1298.0,410.0
person:0.9853,727.0,264.0
person:0.9765,731.0,719.0
person:0.9715,1281.0,243.0
person:0.8362,1416.0,454.0
backpack:0.8020,893.0,314.0
person:0.7356,811.0,294.0
person:0.9990,337.0,404.0
person:0.9975,453.0,404.0
person:0.9967,580.0,373.0
person:0.9932,1297.0,408.0
person:0.9897,726.0,260.0
person:0.9811,723.0,717.0
person:0.9766,1281.0,248.0
person:0.9131,1369.0,496.0
person:0.9055,843.0,239.0
backpack:0.8815,914.0,309.0
handbag:0.5929,699.0,115.0
person:0.9990,333.0,408.0
person:0.9975,580.0,369.0
person:0.9948,720.0,278.0
person:0.9941,454.0,400.0
person:0.9833,743.0,627.0
person:0.9791,1275.0,441.0
person:0.9714,1361.0,495.0
backpack:0.9497,910.0,307.0
person:0.9171,1289.0,239.0
person:0.7715,860.0,234.0
handbag:0.7380,692.0,119.0
person:0.9990,330.0,409.0
person:0.9973,575.0,375.0
person:0.9931,713.0,282.0
person:0.9922,446.0,410.0
person:0.9899,740.0,629.0
person:0.9865,1349.0,504.0
person:0.9733,1283.0,396.0
person:0.9316,1285.0,246.0
backpack:0.8900,903.0,306.0
person:0.5794,861.0,234.0
handbag:0.5373,692.0,115.0
person:0.9992,331.0,405.0
person:0.9979,571.0,379.0
person:0.9959,1344.0,508.0
person:0.9950,1275.0,406.0
person:0.9940,716.0,281.0
person:0.9879,730.0,649.0
person:0.9833,439.0,419.0
backpack:0.8507,922.0,262.0
person:0.8473,1276.0,249.0
person:0.5274,816.0,198.0
person:0.9994,331.0,402.0
person:0.9990,569.0,378.0
person:0.9984,1264.0,395.0
person:0.9976,1328.0,532.0
person:0.9957,709.0,297.0
person:0.9931,720.0,668.0
person:0.9840,447.0,399.0
backpack:0.8528,914.0,261.0
person:0.6933,813.0,209.0
person:0.9995,332.0,404.0
person:0.9989,1261.0,386.0
person:0.9982,570.0,380.0
person:0.9957,711.0,302.0
person:0.9956,726.0,655.0
person:0.9952,1330.0,534.0
person:0.9608,436.0,399.0
backpack:0.8823,915.0,251.0
person:0.7324,819.0,204.0
person:0.9994,333.0,406.0
person:0.9979,1307.0,551.0
person:0.9973,565.0,382.0
person:0.9964,1251.0,385.0
person:0.9947,712.0,304.0
person:0.9911,435.0,403.0
person:0.9803,721.0,659.0
person:0.7715,823.0,197.0
person:0.6378,1051.0,181.0
backpack:0.6125,921.0,232.0
person:0.9995,337.0,401.0
person:0.9977,1304.0,544.0
person:0.9956,435.0,401.0
person:0.9942,568.0,373.0
person:0.9942,1243.0,394.0
person:0.9935,715.0,298.0
person:0.9738,712.0,673.0
person:0.8038,823.0,198.0
backpack:0.7413,884.0,248.0
person:0.9995,339.0,398.0
person:0.9981,440.0,392.0
person:0.9977,1229.0,399.0
person:0.9974,1295.0,551.0
person:0.9940,566.0,375.0
person:0.9937,714.0,298.0
person:0.9806,697.0,705.0
person:0.9264,824.0,194.0
backpack:0.8700,882.0,249.0
handbag:0.7297,670.0,127.0
person:0.5525,1050.0,181.0
person:0.9994,339.0,397.0
person:0.9986,443.0,388.0
person:0.9976,1229.0,397.0
person:0.9954,1292.0,547.0
person:0.9930,711.0,313.0
person:0.9902,566.0,371.0
person:0.9726,692.0,709.0
handbag:0.8625,671.0,129.0
backpack:0.8611,885.0,237.0
person:0.6941,828.0,190.0
person:0.9994,342.0,390.0
person:0.9990,443.0,386.0
person:0.9981,1225.0,389.0
person:0.9902,717.0,300.0
person:0.9885,1295.0,536.0
person:0.9859,567.0,367.0
person:0.9811,696.0,697.0
handbag:0.9413,667.0,136.0
person:0.8997,826.0,189.0
backpack:0.8576,885.0,232.0
person:0.8560,681.0,245.0
person:0.5042,1051.0,182.0
person:0.9994,342.0,387.0
person:0.9989,441.0,389.0
person:0.9981,1220.0,386.0
person:0.9963,1284.0,551.0
person:0.9955,723.0,292.0
person:0.9839,567.0,373.0
person:0.9798,701.0,688.0
person:0.9556,825.0,192.0
handbag:0.9044,667.0,135.0
backpack:0.8478,883.0,231.0
person:0.6416,1512.0,286.0
person:0.5552,1051.0,182.0
person:0.9993,343.0,389.0
person:0.9988,439.0,392.0
person:0.9987,1208.0,394.0
person:0.9979,1277.0,546.0
person:0.9968,717.0,301.0
person:0.9911,694.0,703.0
person:0.9454,662.0,278.0
person:0.9278,826.0,191.0
person:0.9218,525.0,371.0
handbag:0.8969,671.0,126.0
backpack:0.6925,887.0,228.0
person:0.6458,1502.0,303.0
person:0.5281,1049.0,183.0
person:0.9991,343.0,385.0
person:0.9988,437.0,393.0
person:0.9980,1285.0,526.0
person:0.9977,1202.0,400.0
person:0.9934,728.0,289.0
person:0.9916,715.0,665.0
person:0.9439,822.0,199.0
person:0.9171,526.0,369.0
person:0.9053,666.0,267.0
handbag:0.8825,673.0,123.0
backpack:0.7905,908.0,216.0
person:0.6077,1479.0,361.0
person:0.5212,1034.0,178.0
person:0.9993,345.0,382.0
person:0.9990,438.0,390.0
person:0.9982,1280.0,523.0
person:0.9976,1197.0,404.0
person:0.9966,730.0,290.0
person:0.9890,728.0,637.0
person:0.9872,529.0,387.0
person:0.9342,828.0,194.0
person:0.9213,655.0,283.0
person:0.8540,1455.0,402.0
backpack:0.8479,908.0,218.0
handbag:0.8230,669.0,122.0
person:0.7243,1038.0,178.0
